year,organisations,source
FY17,638,ASA Economic Snapshot 2016-17 to 2018-19
FY19,710,ASA Economic Snapshot 2016-17 to 2018-19
FY21,618,ASA Key Data (space.gov.au/key-data)
FY23,814,Austrade International (international.austrade.gov.au/en/do-business-with-australia/sectors/space)
